img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
35690.jpg,1169,1.21,27.076,7.43,9.036,105.602,6.494,156.665,137.747,135.187,59.03,7.473,6.032,0.1295,0.305,0.6547,70.533,74.655,73.257,27.076,19.629,15.49,0.2412,0.2859,0.2615,23.474,13.307,-0.02969,-0.05955,9.68,0.4674,0.4043,0.3696,-2.594,-1.318,-1.187,0.01125,1.398,2.493,0.6655,0.7874,0.0003288,93.595,4.457,4.488,0.0002178,2.122E-05
SS_1.1_rep11.jpg,1024,1,15.071,7.253,14.692,116.52,0,127.504,127.504,127.504,52.973,-0.001459,0.002766,0,0,0.5,38.201,38.201,38.201,15.071,0.0003198,0.0006061,0,0,0.1498,29.029,3.601,0.01367,-0.01172,5.738,0.761,0.7636,0.7677,-2.323,-1.118,-1.099,0.0159,1.745,2.663,0.9582,0.9302,7.129E-05,98.356,4.578,4.569,0.0001125,2.558E-06
Tintoretto14.jpg,1884,0.8416,21.014,7.226,6.649,73.1,4.891,86.493,64.357,51.424,28.471,8.152,11.906,0.06346,0.447,0.3393,52.191,51.07,48.52,21.014,7.635,8.106,0.03819,0.2389,0.2046,56.891,14.98,-0.05633,-0.04936,21.061,0.445,0.3852,0.36,-2.94,-1.186,-1.411,0.01373,1.348,2.527,0.7125,0.7959,0.0003095,90.142,3.931,4.046,0.0001792,1.533E-05
ElGreco2.jpg,1819,0.7764,21.055,7.635,7.355,101.292,6.564,94.762,100.69,91.829,41.096,-3.287,4.35,0.2669,0.2568,0.4154,53.247,50.906,49.753,21.055,4.256,10.127,0.204,0.169,0.2023,22.454,7.832,0.02704,0.02832,9.84,0.4352,0.4366,0.4376,-2.878,-1.401,-1.431,0.001305,1.409,2.494,0.7711,0.8184,0.0003192,97.293,4.501,4.492,0.0001481,1.606E-05
34137.jpg,1129,0.7641,29.394,7.074,14.069,104.977,0,103.759,103.759,103.759,42.248,-0.00122,0.002312,0,0,0.4069,74.384,74.384,74.384,29.394,0.0006429,0.001219,0,0,0.2917,69.717,17.814,-0.001022,0.08906,12.375,0.6456,0.3899,0.3844,-2.247,-1.036,-1.088,0.02714,1.551,2.615,0.688,0.8117,0.0008242,81.881,3.247,3.741,0.0002508,2.947E-05
Titian10.jpg,1877,0.833,23.115,7.478,6.516,82.063,4.967,93.969,66.994,48.655,29.893,9.069,15.284,0.06272,0.531,0.3687,62.002,55.274,44.407,23.115,7.34,9.494,0.04044,0.1582,0.2429,54.939,12.198,-0.0592,-0.01465,16.752,0.4158,0.4563,0.3988,-2.905,-1.366,-1.458,0.01026,1.369,2.368,0.7443,0.8005,0.0002941,88.946,4.38,4.421,0.0001681,1.838E-05
36749.jpg,1248,1.053,36.43,7.31,8.772,127.504,5.615,116.7,115.658,18.564,45.123,-9.196,41.123,0.1832,0.7343,0.4847,97.739,92.425,36.161,36.43,11.916,35.737,0.06778,0.2722,0.378,32.921,31.159,0.06875,-0.1398,16.039,0.44,0.4039,0.3945,-2.612,-1.478,-1.369,0.01921,1.306,2.453,0.5673,0.7481,0.0008471,91.782,4.151,4.242,0.000235,2.83E-05
39101.jpg,1120,1.333,14.242,6.882,5.238,54.774,6.298,138.42,134.434,114.897,55.793,-0.5495,10.747,0.137,0.2636,0.5653,35.186,36.006,52.806,14.242,5.113,20.242,0.294,0.2707,0.1313,2.72,4.391,-0.02031,0.008333,9.617,0.4262,0.4471,0.4287,-2.865,-1.337,-1.379,0.004755,1.517,2.5,0.6995,0.7753,0.0003493,94.229,4.487,4.389,0.0001723,1.918E-05
504814.jpg,1440,1,24.359,7.807,24.337,177.422,5.514,129.915,129.459,118.986,52.869,-1.643,5.805,0.1444,0.1286,0.5182,62.022,62.339,63.257,24.359,3.519,8.034,0.1479,0.112,0.2453,37.49,6.724,-0.02083,0.02639,5.934,0.5687,0.5387,0.4981,-2.009,-0.999,-0.9022,0.002403,1.753,2.777,0.7434,0.8473,0.0002498,97.404,3.779,4.125,0.000124,8.653E-06
34017.jpg,1120,0.75,21.789,7.754,24.204,159.471,5.853,120.287,116.044,84.565,47.618,-3.334,17.76,0.152,0.3326,0.4808,54.882,55.906,45.533,21.789,5.31,9.546,0.06954,0.1594,0.2166,36.642,13.775,-0.004167,-0.06875,15.458,0.6493,0.5892,0.5826,-1.935,-1.126,-0.8116,0.02268,1.781,2.854,0.7865,0.8709,0.0002115,94.39,4.469,4.541,9.747E-05,6.917E-06
SS_2.5_rep7.jpg,1024,1,15.247,7.124,0.5703,12.823,0,127.5,127.5,127.5,52.952,-0.001459,0.002766,0,0,0.5,38.265,38.265,38.265,15.247,0.0003227,0.0006116,0,0,0.1501,37.94,10.576,-0.003906,0.05273,7.36,0.8056,0.3912,0.3882,-2.884,-1.415,-1.405,0.0655,0.8187,2.013,0.484,0.6956,0.001539,86.719,3.178,2.526,0.0007852,4.876E-06
3363.jpg,1120,0.75,12.136,7.003,3.314,44.333,5.64,83.175,107.533,38.672,42.209,-19.1493,33.343,0.2216,0.6738,0.4277,29.615,32.299,36.773,12.136,12.631,11.173,0.05904,0.2366,0.1263,45.495,7.5,-0.0375,0,8.818,0.4335,0.4927,0.3891,-3.447,-2.003,-1.747,0.01536,1.288,2.444,0.6979,0.6364,0.0004638,94.217,4.537,4.304,0.000329,1.322E-05
Zurbaran9.jpg,1593,0.5557,15.198,6.36,6.323,61.681,4.965,47.78,26.378,17.76,12.718,8.228,9.263,0.05551,0.5528,0.1877,49.562,31.474,24.922,15.198,12.383,11.995,0.07136,0.2587,0.1941,68.783,13.505,-0.004394,0.06738,20.388,0.4441,0.4212,0.3909,-2.814,-1.068,-1.122,0.01588,1.433,2.538,0.5998,0.7733,0.0002934,90.097,4.365,4.356,0.0001607,1.993E-05
Weingartner1.jpg,1539,1.988,16.791,7.432,8.417,91.062,5.265,154.528,125.135,85.744,54.359,7.441,26.009,0.1211,0.5012,0.6224,41.711,45.138,56.677,16.791,11.094,17.334,0.1335,0.2606,0.1626,15.902,7.187,0.0009766,-0.03592,17.779,0.5754,0.4435,0.4295,-2.551,-1.24,-1.299,0.002757,1.608,2.567,0.7563,0.8153,0.000318,96.349,4.333,4.47,0.0001717,1.55E-05
Veronese9.jpg,1816,0.7734,16.096,6.413,5.189,48.55,4.449,59.486,49.211,39.602,20.689,3.043,7.117,0.1751,0.2078,0.2373,50.113,35.167,20.55,16.096,6.74,12.347,0.2303,0.2156,0.1941,69.997,4.889,-0.001263,-0.02441,14.727,0.4343,0.3708,0.358,-2.752,-1.313,-1.347,0.003489,1.32,2.494,0.725,0.7725,0.0002456,83.844,4.524,4.448,0.000145,2.171E-05
40924.jpg,1120,1.333,7.813,4.049,2.575,25.507,1.957,11.401,9.79,8.403,3.346,0.5343,1.044,0.02374,0.09241,0.04522,23.063,18.163,15.409,7.813,3.274,4.565,0.0741,0.1866,0.09155,96.627,22.502,0.05156,0.1,25.703,0.3908,0.3574,0.2504,-2.366,-1.339,-1.219,0.00737,1.514,2.199,0.4721,0.7065,0.0004199,75.28,4.497,4.525,0.0002992,1.288E-05
4066.jpg,1120,1.333,26.332,7.753,12.759,131.17,6.396,135.221,130.817,114.532,53.53,-0.9647,9.233,0.1037,0.1718,0.5473,71.517,67.198,63.472,26.332,9.127,12.305,0.1535,0.1603,0.2807,36.144,9.685,-0.01562,0.04583,14.574,0.4985,0.4669,0.4644,-2.519,-1.432,-1.239,0.01741,1.545,2.519,0.7336,0.8406,0.0003937,96.847,4.132,4.412,0.0001357,1.526E-05
SS_1.05_rep4.jpg,1024,1,15.145,7.258,16.935,124.193,0,127.503,127.503,127.503,52.966,-0.001459,0.002766,0,0,0.5,38.273,38.273,38.273,15.145,0.0003218,0.00061,0,0,0.1501,27.512,2.344,0,-0.01172,2.398,0.7721,0.7729,0.766,-2.219,-1.044,-1.046,0.01046,1.779,2.688,0.9672,0.93,6.623E-05,99.038,4.579,4.571,0.0001078,2.601E-06
Delacroix2.jpg,1825,0.7822,17.257,7.412,8.362,86.026,6.087,71.219,70.18,43.957,28.617,-3.968,15.432,0.1977,0.4591,0.2958,45.071,39.979,33.71,17.257,5.547,9.115,0.082,0.1953,0.1699,40.767,12.135,-0.06055,0.003906,13.286,0.5532,0.4671,0.463,-2.575,-1.279,-1.257,0.001243,1.49,2.566,0.7312,0.8298,0.000241,95.829,4.553,4.544,0.0001148,1.227E-05
Zurbaran8.jpg,1847,0.8037,17.053,7.322,5.859,68.359,6.388,77.537,65.491,53.612,28.153,3.144,8.925,0.07765,0.3107,0.3076,47.158,39.491,29.716,17.053,7.889,9.228,0.1295,0.1545,0.1841,68.59,10.659,-0.05286,0.006836,10.004,0.4647,0.4183,0.3934,-2.928,-1.444,-1.418,0.005445,1.286,2.484,0.7325,0.7664,0.0003256,84.354,4.351,4.342,0.000136,1.77E-05
33194.jpg,989,1.536,25.056,7.655,14.462,111.834,0,116.686,116.686,116.686,47.954,-0.001343,0.002545,0,0,0.4576,62.933,62.933,62.933,25.056,0.0005527,0.001048,0,0,0.2468,42.859,18.009,0.02254,0.08718,20.71,0.533,0.4288,0.4235,-2.467,-1.113,-1.305,0.0077,1.465,2.592,0.7492,0.8359,0.0004236,90.976,4.146,4.329,0.0002058,1.574E-05
Wissing5.jpg,1840,0.7969,8.969,6.625,3.655,40.283,4,70.411,51.908,39.841,23.198,6.449,10.828,0.06578,0.4327,0.2761,24.411,19.755,17.387,8.969,3.21,4.438,0.01787,0.1058,0.09573,58.256,7.491,0.02451,0.02832,6.263,0.4702,0.4528,0.4312,-2.801,-1.366,-1.349,0.003182,1.46,2.427,0.7593,0.8003,0.0003263,95.229,4.532,4.473,0.0001711,1.201E-05
Lely6.jpg,1881,0.8369,14.653,6.378,5.145,33.132,4.04,80.366,64.136,50.181,27.972,4.823,11.134,0.07548,0.386,0.3152,38.679,35.152,29.867,14.653,2.936,4.868,0.01779,0.1022,0.1517,77.426,2.346,-0.008751,-0.007812,14.928,0.5736,0.5134,0.4785,-2.723,-1.155,-1.356,0.02386,1.37,2.507,0.8614,0.7614,0.0002148,71.403,4.514,4.348,0.000139,1.75E-05
SS_2.15_rep18.jpg,1024,1,15.5,7.101,0.7783,16.831,0,127.498,127.498,127.498,52.922,-0.001458,0.002765,0,0,0.5,38.262,38.262,38.262,15.5,0.0003284,0.0006225,0,0,0.15,14.243,8.647,0.04102,0.01367,8.37,0.5337,0.6854,0.5152,-3.453,-1.525,-1.714,0.05914,0.7728,2.064,0.5612,0.7518,0.0009828,84.539,4.209,3.336,0.0005996,3.526E-06
40983.jpg,1134,0.8,20.705,6.799,12.51,103.369,5.76,48.923,62.124,51.998,25.695,-2.886,4.039,0.2737,0.7457,0.3286,52.2,52.212,65.098,20.705,17.417,29.25,0.2362,0.2827,0.2372,37.081,8.945,0.03968,-0.02063,10.135,0.5111,0.4114,0.3825,-2.154,-1.273,-1.101,0.06805,1.49,2.638,0.6789,0.7512,0.0008007,96.04,3.099,3.739,0.0002906,3.183E-05
34559.jpg,1068,1.495,31.061,6.884,24.846,220.574,5.925,101.362,46.617,47.691,28.291,20.891,13.762,0.01308,0.7672,0.4066,86.912,81.273,83.488,31.061,25.533,19.961,0.1241,0.3396,0.3405,70.116,10.356,-0.00625,-0.0514,20.575,0.6382,0.5031,0.4741,-2.053,-1.332,-0.9756,0.02326,1.515,2.85,0.596,0.8027,0.0005149,88.822,4.271,4.493,0.0001114,1.368E-05
