img_file,Image size (pixels)_abs_diff,Image size (pixels)_percent_diff,Aspect ratio_abs_diff,Aspect ratio_percent_diff,RMS contrast_abs_diff,RMS contrast_percent_diff,Luminance entropy_abs_diff,Luminance entropy_percent_diff,Complexity_abs_diff,Complexity_percent_diff,Edge density_abs_diff,Edge density_percent_diff,Color entropy_abs_diff,Color entropy_percent_diff,mean R channel_abs_diff,mean R channel_percent_diff,mean G channel_abs_diff,mean G channel_percent_diff,mean B channel (RGB)_abs_diff,mean B channel (RGB)_percent_diff,mean L channel_abs_diff,mean L channel_percent_diff,mean a channel_abs_diff,mean a channel_percent_diff,mean b channel (Lab)_abs_diff,mean b channel (Lab)_percent_diff,mean H channel_abs_diff,mean H channel_percent_diff,mean S channel_abs_diff,mean S channel_percent_diff,mean V channel_abs_diff,mean V channel_percent_diff,std R channel_abs_diff,std R channel_percent_diff,std G channel_abs_diff,std G channel_percent_diff,std B channel_abs_diff,std B channel_percent_diff,std L channel_abs_diff,std L channel_percent_diff,std a channel_abs_diff,std a channel_percent_diff,std b channel (Lab)_abs_diff,std b channel (Lab)_percent_diff,std H channel_abs_diff,std H channel_percent_diff,std S channel_abs_diff,std S channel_percent_diff,std V channel_abs_diff,std V channel_percent_diff,Mirror symmetry_abs_diff,Mirror symmetry_percent_diff,DCM distance_abs_diff,DCM distance_percent_diff,DCM x position_abs_diff,DCM x position_percent_diff,DCM y position_abs_diff,DCM y position_percent_diff,Balance_abs_diff,Balance_percent_diff,CNN symmetry left-right_abs_diff,CNN symmetry left-right_percent_diff,CNN symmetry up-down_abs_diff,CNN symmetry up-down_percent_diff,CNN symmetry left-right & up-down_abs_diff,CNN symmetry left-right & up-down_percent_diff,Slope Redies_abs_diff,Slope Redies_percent_diff,Slope Spehar_abs_diff,Slope Spehar_percent_diff,Slope Mather_abs_diff,Slope Mather_percent_diff,Fourier sigma_abs_diff,Fourier sigma_percent_diff,2D Fractal dimension_abs_diff,2D Fractal dimension_percent_diff,3D Fractal dimension_abs_diff,3D Fractal dimension_percent_diff,Self-similarity (PHOG)_abs_diff,Self-similarity (PHOG)_percent_diff,Self-similarity (CNN)_abs_diff,Self-similarity (CNN)_percent_diff,Anisotropy_abs_diff,Anisotropy_percent_diff,Homogeneity_abs_diff,Homogeneity_percent_diff,1st-order EOE_abs_diff,1st-order EOE_percent_diff,2nd-order EOE_abs_diff,2nd-order EOE_percent_diff,Sparseness_abs_diff,Sparseness_percent_diff,Variability_abs_diff,Variability_percent_diff,,Pearson Correaltions
3136.jpg,373,33,-0.001,0,0.241000000000003,1,0.000999999999999,0,-0.516,4,-0.307000000000002,0,0.058,1,-0.025999999999982,0,-0.038000000000011,0,-0.042000000000002,0,-0.028999999999996,0,0.01,0,-0.007,0,0.0006,0,0.0107,5,9.9999999999989E-05,0,0.600000000000009,1,0.593000000000004,1,0.611999999999995,1,0.241000000000003,1,0.058,1,0.059000000000001,1,0.0023,2,0.0192,10,0.0022,1,-0.240000000000002,1,0.140000000000001,2,0.00119,5,0,0,-0.112,1,-0.001,0,-0.0052,1,-0.0021,1,0.242,-10,0.1181,-12,0.277,-27,-0.02743,61,0.058,4,0.049,2,-0.0362,6,-0.0072,1,-3.6E-05,9,-0.230000000000004,0,0.002000000000001,0,-0.002000000000001,0,-1.82E-05,9,-1.09999999999997E-07,1,,Image size (pixels) 1.0
31405.jpg,373,33,-0.003,0,0.251999999999999,1,0.012000000000001,0,0.536,5,-0.23899999999999,0,0.039,1,-0.006,0,0.003,0,-0.015999999999991,0,-0.02,0,0.005,0,0.022,0,0.0003,0,0.0036,1,0,0,0.612999999999999,1,0.667999999999999,1,0.719999999999999,1,0.251999999999999,1,0.138,4,0.058999999999999,1,0.0003,0,0.0064,3,0.0029,1,-0.012000000000001,0,-0.088999999999999,0,-0.0002,0,-0.00056,1,0.026,0,0.0007,0,0.0069,2,0.0002,0,0.236,-9,0.3785,-50,0.256,-23,0.00488,15,0.052,4,0.112,4,0.0157,2,-0.0008,0,-9.07E-05,22,-0.045999999999992,0,0,0,-0.002000000000001,0,-1.87E-05,12,-2.30000000000003E-07,1,,Aspect ratio 1.0
3141.jpg,373,33,0.0006,0,0.015000000000001,0,0.073,1,-0.465,17,-0.266000000000002,1,-0.101,3,0.052000000000007,0,-0.028000000000006,0,-0.030000000000001,0,-0.003,0,0.031,0,0.006,0,-0.00081,1,0.002,0,0.0002,0,0.045000000000002,0,0.034999999999997,0,0.061,0,0.015000000000001,0,-0.022,0,0.003,0,-0.00295,14,0.0033,2,0.0002,0,-0.052999999999997,0,0.199999999999996,0,0,0,0.0013,1,-0.087,0,-0.0081,3,-0.007,2,-0.0079,3,0.153,-5,0.016,-1,-0.044,-3,-0.015032,84,0.0377,4,-0.043,2,0.0549,12,-0.0059,1,-0.0001035,14,-0.210999999999998,0,0.014,0,0.009,0,-7.10000000000001E-06,1,8.66E-06,23,,RMS contrast 0.92
3146.jpg,373,33,0.0006,0,0.030999999999999,0,-0.034,1,-0.092,2,-0.115000000000002,0,0.000222,13,0.009999999999991,0,0.009999999999991,0,0.009999999999991,0,0.001999999999995,0,2.70000000000001E-05,-1,-7.2E-05,2,0,0,-1.42E-07,10,9.9999999999989E-05,0,0.068999999999988,0,0.068999999999988,0,0.068999999999988,0,0.030999999999999,0,-0.001908,32,-0.00208,16,0.000585,20,-4.34E-05,27,0.0003,0,0.036,0,-0.041999999999995,0,0.00208,-2,0.0006,0,-0.080000000000005,0,0.0025,1,-0.0044,3,-0.0043,3,0.141,-4,0.226,-16,0.067,-4,0.013671,80,0.085,8,0.037,2,0.0045,2,0.0002,0,-0.000223,20,-0.38600000000001,0,-0.000999999999999,0,0,0,-1.3E-05,1,-2.29999999999999E-07,1,,Luminance entropy 0.88
31485.jpg,358,33,-0.005,0,0.081000000000003,0,-0.101999999999999,1,-1.641,22,-0.180000000000007,0,-0.086,1,-0.01100000000001,0,-0.007999999999996,0,-0.029000000000011,0,-0.009,0,-0.011,0,0.011,0,0.0003,0,0.0004,0,-9.9999999999989E-05,0,0.265999999999998,0,0.226999999999997,0,0.206000000000003,0,0.081000000000003,0,0.026,0,-0.023999999999999,0,-0.0005,0,-0.0015,1,0.0008,0,1.029,3,-0.170999999999999,1,0.00111,-2,0.00112,7,-0.122000000000002,1,-0.0024,1,-0.002,0,-0.0021,1,0.297,-10,0.033,-2,0.06,-4,-0.06573,65,-0.011,1,-0.092,4,-0.014,2,-0.0132,2,-5.66000000000001E-05,7,-0.38300000000001,0,0,0,0,0,-1.01E-05,4,1.40000000000002E-07,0,,Complexity 0.99
31525.jpg,321,33,-0.002,0,0.079000000000001,0,0.007,0,-1.765,20,-0.102000000000004,0,0,,-0.016999999999996,0,-0.016999999999996,0,-0.016999999999996,0,-0.011999999999993,0,1.00000000000013E-06,0,-1.99999999999983E-06,0,0,,0,,-9.9999999999989E-05,0,0.218000000000004,0,0.218000000000004,0,0.218000000000004,0,0.079000000000001,0,2.19999999999994E-06,0,4.0000000000001E-06,0,0,,0,,0.0008,0,0.072000000000003,0,-0.622,2,-0.00037,2,0.0031,-2,0.138999999999999,1,-0.0026,1,-0.0018,1,-0.0003,0,0.221,-7,-0.095,-6,0.033,-2,-0.03882,79,0.096,8,-0.114,4,0.0157,3,-0.0159,2,-0.0001412,15,0.266000000000005,0,-0.000999999999999,0,0,0,-2.83E-05,7,2.6E-06,9,,Edge density 1.0
31567.jpg,367,33,0.0008,0,0.338000000000001,1,-0.045,1,-1.944,25,0.324999999999996,1,-0.055,1,0.066000000000003,0,-0.069999999999993,0,-0.038999999999987,0,-0.061,0,0.067,1,0.005299999999998,0,0.0009,0,0.0023,1,0.0003,0,0.829999999999998,1,1.00099999999999,1,0.650999999999996,1,0.338000000000001,1,-0.026,0,0.018000000000001,0,0.0008,0,0.0037,2,0.002,1,0.440999999999999,2,2.89,27,-0.08954,239,0.02167,186,-0.060000000000001,1,-0.0018,1,-0.0014,0,-0.0002,0,0.348,-15,-0.176,-13,-0.044,-3,-0.04878,62,0.047,4,-0.078,3,0.0329,6,-0.0043,1,-0.000213,17,0.070000000000007,0,-0.015,0,-0.012,0,-1.57E-05,3,6.48E-06,15,,Color entropy 1.0
31606.jpg,293,33,-0.004,0,0.329999999999998,2,0.036000000000001,0,0.290999999999999,2,-0.564999999999998,1,0.048,1,0.02300000000001,0,-0.004999999999995,0,0.027999999999999,0,-0.006999999999998,0,0.0471,16,-0.033999999999999,0,-0.0004,0,0.0045,1,0.0005,0,0.850000000000001,2,0.895000000000003,2,1.491,4,0.329999999999998,2,0.212,2,0.23,2,0.0029,3,0.0044,2,0.0033,2,1.114,4,-0.038,0,-0.00046,-1,-0.00081,2,-0.003,0,0.0059,1,0.0047,1,0.0044,1,0.547,-26,0.129,-13,0.113,-10,-0.18559,92,-0.013,1,0.011,0,0.0161,2,0.0024,0,-5.97E-05,23,-0.484999999999999,0,-0.001,0,0,0,-1.678E-05,15,-2.87000000000001E-07,3,,mean R channel 0.99
31615.jpg,364,33,-0.004,0,0.571000000000002,2,0.013,0,-2.358,10,-0.032000000000011,0,0.074999999999999,2,-0.150999999999996,0,-0.170000000000002,0,-0.085000000000008,0,-0.107999999999997,0,0.0218,-6,-0.041,-2,0.0113,5,0.0174,11,-0.0005,0,1.562,2,1.521,2,1.316,2,0.571000000000002,2,-0.016,1,-0.032,0,0.0075,3,0.03,13,0.0052,2,0.806000000000001,6,-0.202,15,0.000392,25,-0.001124,17,-0.068,1,0.0002,0,0.0013,0,0.0009,0,0.29,-12,-0.091,-7,-0.072,-7,-0.08595,87,0.043,3,-0.053,2,-0.0027,0,0.0025,0,-3E-05,5,0.060000000000002,0,0.005,0,0.005,0,-1.31E-05,5,5.60999999999999E-07,6,,mean G channel 0.99
31622.jpg,405,33,-0.002,0,0.457000000000001,2,-0.094,1,-3.337,20,-1.02500000000001,1,0.028,0,-0.234999999999999,0,-0.244999999999997,1,-0.408999999999999,2,-0.110000000000003,0,0,0,0.071999999999999,0,-0.000363,17,0.0064,1,-0.0006,0,1.163,1,1.538,3,2.036,5,0.457000000000001,2,0.117999999999999,1,0.158000000000001,1,0.0006,0,0.0035,1,0.0044,1,3.324,4,0.054,1,0.00038,-3,0.0004,1,-0.02,0,0.0033,1,0.0032,1,0.0027,1,0.429,-17,-0.095,-6,-0.105,-8,-0.19055,79,0.022,1,-0.065,3,-0.0021,0,-0.0103,1,1.52E-05,2,-1.36099999999999,1,0.014,0,0.004,0,-6.39999999999999E-06,4,3.01E-06,14,,mean B channel (RGB) 0.99
