img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
35690.jpg,779,1.213,26.905,7.431,10.669,105.737,6.529,156.676,137.768,135.185,59.054,7.465,6.043,0.1295,0.3027,0.6547,70.14,74.303,72.914,26.905,19.64,15.498,0.2404,0.2841,0.26,23.496,13.291,-0.02927,-0.05966,9.898,0.4691,0.4059,0.37,-2.845,-1.247,-1.298,0.0734,1.327,2.606,0.6554,0.7925,0.000377,93.816,4.456,4.487,0.0002379,2.093E-05
SS_1.1_rep11.jpg,682,1,14.755,7.223,15.304,116.958,0,127.507,127.507,127.507,52.992,-0.00146,0.002767,0,0,0.5,37.419,37.419,37.419,14.755,0.0003128,0.0005929,0,0,0.1467,29.118,3.733,0.0132,-0.0132,5.815,0.7544,0.756,0.7616,-2.898,-1.143,-1.106,0.294,1.712,2.724,0.9439,0.9279,0.0001019,98.278,4.578,4.569,0.0001471,1.481E-06
Tintoretto14.jpg,1256,0.8416,20.927,7.245,6.515,73.151,4.802,86.456,64.385,51.373,28.477,8.102,11.947,0.0645,0.4469,0.3391,51.981,50.826,48.277,20.927,7.615,8.008,0.0356,0.2369,0.2038,56.913,14.958,-0.05575,-0.04985,21.086,0.4432,0.3826,0.3578,-2.935,-1.335,-1.524,0.01083,1.375,2.501,0.6496,0.7937,0.0004182,90.164,3.931,4.047,0.0001857,1.477E-05
ElGreco2.jpg,1213,0.776,20.991,7.661,8.243,101.393,6.536,94.748,100.706,91.822,41.103,-3.307,4.358,0.268,0.2575,0.4154,53.081,50.735,49.64,20.991,4.215,10.126,0.2037,0.1684,0.2016,22.396,7.779,0.02642,0.02855,9.917,0.435,0.4364,0.4362,-2.87,-1.449,-1.417,0.00119,1.436,2.497,0.7201,0.8166,0.0003918,97.101,4.501,4.492,0.0001511,1.641E-05
34137.jpg,753,0.7635,28.964,7.115,14.033,105.248,0,103.762,103.762,103.762,42.28,-0.001222,0.002317,0,0,0.4069,73.207,73.207,73.207,28.964,0.0006307,0.001196,0,0,0.2871,69.558,18.033,0,0.09016,12.258,0.6554,0.3904,0.3863,-2.503,-1.133,-1.018,0.04496,1.385,2.626,0.6769,0.8115,0.0009351,80.4,3.249,3.743,0.0002664,2.382E-05
Titian10.jpg,1251,0.8316,23.065,7.531,7.072,82.184,4.956,93.936,66.984,48.608,29.883,9.052,15.303,0.06302,0.5314,0.3686,61.873,55.13,44.29,23.065,7.297,9.423,0.04017,0.1561,0.2424,55.141,12.36,-0.05986,-0.01537,16.9,0.4156,0.4561,0.399,-2.9,-1.415,-1.449,0.008356,1.393,2.417,0.7282,0.7999,0.0003761,88.763,4.377,4.421,0.0001706,1.623E-05
36749.jpg,832,1.054,36.178,7.375,11.044,127.804,5.672,116.709,115.676,18.702,45.16,-9.196,41.085,0.1828,0.7372,0.4849,97.126,91.788,33.895,36.178,11.893,35.704,0.07073,0.2727,0.3754,32.665,30.93,0.06674,-0.1395,16.095,0.4424,0.4019,0.3931,-2.878,-1.389,-1.288,0.07505,1.323,2.542,0.5571,0.7546,0.0008628,92.244,4.144,4.246,0.0002426,2.514E-05
39101.jpg,747,1.334,14.209,6.876,6.14,54.962,6.31,138.415,134.438,114.86,55.795,-0.5581,10.766,0.1368,0.2641,0.5654,35.093,35.922,52.775,14.209,5.119,20.269,0.2934,0.2705,0.131,2.495,4.173,-0.01991,0.00625,9.727,0.4235,0.4448,0.4267,-3.074,-1.404,-1.439,0.0422,1.397,2.449,0.6813,0.7715,0.000424,93.928,4.486,4.391,0.0001889,2.036E-05
504814.jpg,960,1,23.454,7.797,23.849,177.056,5.504,129.781,129.354,118.817,52.899,-1.669,5.833,0.144,0.1264,0.5178,59.636,59.954,60.941,23.454,3.519,8.032,0.1457,0.1051,0.236,36.963,6.834,-0.02083,0.02708,5.899,0.5631,0.5345,0.4948,-2.168,-1.007,-0.8893,0.02953,1.783,2.865,0.7546,0.8428,0.0003102,97.307,3.789,4.131,0.0001335,8.921E-06
34017.jpg,747,0.7494,21.303,7.726,26.489,159.87,5.824,120.242,116.022,84.524,47.641,-3.362,17.789,0.1525,0.3267,0.4803,53.645,54.679,44.022,21.303,5.166,9.432,0.06804,0.1452,0.2117,36.782,13.874,-0.00625,-0.06909,15.532,0.6499,0.5913,0.5851,-2.172,-0.9033,-0.7992,0.1316,1.744,2.873,0.7839,0.8799,0.0002493,93.944,4.468,4.541,0.0001063,5.91E-06
