img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
39101.jpg,1120,1.333,14.242,6.882,5.238,54.774,6.298,138.42,134.434,114.897,55.793,-0.5495,10.747,0.137,0.2636,0.5653,35.186,36.006,52.806,14.242,5.113,20.242,0.294,0.2707,0.1313,2.72,4.391,-0.02031,0.008333,9.617,0.4262,0.4471,0.4287,-2.865,-1.337,-1.379,0.004755,1.517,2.5,0.6995,0.7753,0.0003493,94.229,4.487,4.389,0.0001723,1.918E-05
504814.jpg,1440,1,24.359,7.807,24.337,177.422,5.514,129.915,129.459,118.986,52.869,-1.643,5.805,0.1444,0.1286,0.5182,62.022,62.339,63.257,24.359,3.519,8.034,0.1479,0.112,0.2453,37.49,6.724,-0.02083,0.02639,5.934,0.5687,0.5387,0.4981,-2.009,-0.999,-0.9022,0.002403,1.753,2.777,0.7434,0.8473,0.0002498,97.404,3.779,4.125,0.000124,8.653E-06
40924.jpg,1120,1.333,7.813,4.049,2.575,25.507,1.957,11.401,9.79,8.403,3.346,0.5343,1.044,0.02374,0.09241,0.04522,23.063,18.163,15.409,7.813,3.274,4.565,0.0741,0.1866,0.09155,96.627,22.502,0.05156,0.1,25.703,0.3908,0.3574,0.2504,-2.366,-1.339,-1.219,0.00737,1.514,2.199,0.4721,0.7065,0.0004199,75.28,4.497,4.525,0.0002992,1.288E-05
40983.jpg,1134,0.8,20.705,6.799,12.51,103.369,5.76,48.923,62.124,51.998,25.695,-2.886,4.039,0.2737,0.7457,0.3286,52.2,52.212,65.098,20.705,17.417,29.25,0.2362,0.2827,0.2372,37.081,8.945,0.03968,-0.02063,10.135,0.5111,0.4114,0.3825,-2.154,-1.273,-1.101,0.06805,1.49,2.638,0.6789,0.7512,0.0008007,96.04,3.099,3.739,0.0002906,3.183E-05
40731.jpg,1128,1.311,23.988,7.479,4.24,52.613,0,96.582,96.582,96.582,39.729,-0.001175,0.002228,0,0,0.3788,59.34,59.34,59.34,23.988,0.0005138,0.0009739,0,0,0.2327,46.142,16.563,0.07969,-0.02254,18.472,0.3515,0.4359,0.3344,-2.834,-1.521,-1.46,0.004274,1.221,2.437,0.6438,0.7938,0.0005849,87.161,4.214,4.295,0.0002164,1.848E-05
37004.jpg,1024,1.498,31.559,4.955,8.843,112.342,3.724,62.489,48.289,43.41,21.458,4.877,5.626,0.02596,0.3352,0.246,82.705,78.283,73.333,31.559,11.732,9.803,0.08474,0.4205,0.3245,56.149,25.854,0,-0.1293,34.112,0.3465,0.3006,0.2686,-2.648,-1.327,-1.243,0.0389,1.206,2.802,0.4238,0.7517,0.0009878,85.717,3.628,3.872,0.0003899,3.409E-05
37685.jpg,1050,1.333,17.01,7.156,8.007,97.721,7.131,64.797,63.184,61.333,26.435,1.501,1.392,0.03375,0.34,0.2992,41.6,40.416,37.807,17.01,8.005,14.307,0.3304,0.1879,0.1685,30.633,8.862,-0.03833,-0.02222,9.69,0.4845,0.4098,0.3891,-3.267,-1.855,-1.66,0.03239,1.426,2.492,0.6997,0.8211,0.0004928,98.148,4.524,4.49,0.0001309,1.543E-05
39247.jpg,1120,1.333,19.164,7.53,9.014,86.847,4.95,58.394,102.719,100.212,40.15,-13.8676,-2.602,0.4688,0.5221,0.4071,58.978,47.257,46.39,19.164,9.62,3.452,0.1329,0.3401,0.185,45.535,14.198,-0.06719,-0.02292,11.995,0.4673,0.4823,0.4446,-2.51,-1.41,-1.428,0.007452,1.413,2.389,0.7229,0.8156,0.0003608,92.142,4.363,4.414,0.0001888,1.574E-05
40985.jpg,881,0.7411,14.162,6.273,5.715,51.43,5.402,35.31,34.245,28.793,13.42,-0.1627,3.447,0.3007,0.2765,0.1551,38.543,32.265,28.086,14.162,5.413,8.936,0.2257,0.2113,0.1551,80.902,18.823,-0.036,0.08696,16.459,0.369,0.4265,0.3019,-2.845,-1.489,-1.11,0.1403,1.399,2.522,0.5512,0.7698,0.0006084,76.915,3.468,4.076,0.0001963,1.922E-05
43523.jpg,1107,0.7297,27.467,5.977,4.988,86.65,0,174.111,174.111,174.111,69.897,-0.001807,0.003426,0,0,0.6828,68.519,68.519,68.519,27.467,0.0006088,0.001154,0,0,0.2687,4.021,5.476,0.02248,0.01562,8.884,0.2221,0.2317,0.2724,-3.083,-1.511,-1.526,0.01254,1.126,2.312,0.4085,0.678,0.001061,92.669,3.348,3.168,0.0007476,2.495E-05
42852.jpg,1213,1.117,17.447,6.952,3.73,42.029,6.761,54.526,49.69,37.054,20.412,1.264,7.83,0.09915,0.4706,0.2422,45.276,40.733,37.02,17.447,6.713,17.177,0.2567,0.2494,0.1798,68.778,25.005,0.007812,0.1248,23.111,0.3563,0.3094,0.344,-3.055,-1.483,-1.463,0.00636,1.226,2.348,0.6168,0.7128,0.0004229,80.733,4.468,4.24,0.0001847,2.211E-05
38904.jpg,1152,1.25,26.944,7.523,15.516,183.064,5.288,172.398,87.416,49.889,47.86,31.835,37.234,0.04124,0.7532,0.6776,67.087,80.396,75.393,26.944,21.838,23.617,0.06997,0.3147,0.2635,65.451,5.415,-0.01875,0.01953,11.697,0.6104,0.5831,0.6153,-2.716,-1.545,-1.346,0.02014,1.577,2.565,0.7253,0.7938,0.0004284,95.393,4.23,4.3,0.000123,1.391E-05
