img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Tintoretto14.jpg,1884,0.8416,21.014,7.226,6.649,73.1,4.891,86.493,64.357,51.424,28.471,8.152,11.906,0.06346,0.447,0.3393,52.191,51.07,48.52,21.014,7.635,8.106,0.03819,0.2389,0.2046,56.891,14.98,-0.05633,-0.04936,21.061,0.445,0.3852,0.36,-2.94,-1.186,-1.411,0.01373,1.348,2.527,0.7125,0.7959,0.0003095,90.142,3.931,4.046,0.0001792,1.533E-05
Titian10.jpg,1877,0.833,23.115,7.478,6.516,82.063,4.967,93.969,66.994,48.655,29.893,9.069,15.284,0.06272,0.531,0.3687,62.002,55.274,44.407,23.115,7.34,9.494,0.04044,0.1582,0.2429,54.939,12.198,-0.0592,-0.01465,16.752,0.4158,0.4563,0.3988,-2.905,-1.366,-1.458,0.01026,1.369,2.368,0.7443,0.8005,0.0002941,88.946,4.38,4.421,0.0001681,1.838E-05
Zurbaran9.jpg,1593,0.5557,15.198,6.36,6.323,61.681,4.965,47.78,26.378,17.76,12.718,8.228,9.263,0.05551,0.5528,0.1877,49.562,31.474,24.922,15.198,12.383,11.995,0.07136,0.2587,0.1941,68.783,13.505,-0.004394,0.06738,20.388,0.4441,0.4212,0.3909,-2.814,-1.068,-1.122,0.01588,1.433,2.538,0.5998,0.7733,0.0002934,90.097,4.365,4.356,0.0001607,1.993E-05
Weingartner1.jpg,1539,1.988,16.791,7.432,8.417,91.062,5.265,154.528,125.135,85.744,54.359,7.441,26.009,0.1211,0.5012,0.6224,41.711,45.138,56.677,16.791,11.094,17.334,0.1335,0.2606,0.1626,15.902,7.187,0.0009766,-0.03592,17.779,0.5754,0.4435,0.4295,-2.551,-1.24,-1.299,0.002757,1.608,2.567,0.7563,0.8153,0.000318,96.349,4.333,4.47,0.0001717,1.55E-05
Veronese9.jpg,1816,0.7734,16.096,6.413,5.189,48.55,4.449,59.486,49.211,39.602,20.689,3.043,7.117,0.1751,0.2078,0.2373,50.113,35.167,20.55,16.096,6.74,12.347,0.2303,0.2156,0.1941,69.997,4.889,-0.001263,-0.02441,14.727,0.4343,0.3708,0.358,-2.752,-1.313,-1.347,0.003489,1.32,2.494,0.725,0.7725,0.0002456,83.844,4.524,4.448,0.000145,2.171E-05
Zurbaran8.jpg,1847,0.8037,17.053,7.322,5.859,68.359,6.388,77.537,65.491,53.612,28.153,3.144,8.925,0.07765,0.3107,0.3076,47.158,39.491,29.716,17.053,7.889,9.228,0.1295,0.1545,0.1841,68.59,10.659,-0.05286,0.006836,10.004,0.4647,0.4183,0.3934,-2.928,-1.444,-1.418,0.005445,1.286,2.484,0.7325,0.7664,0.0003256,84.354,4.351,4.342,0.000136,1.77E-05
Wissing5.jpg,1840,0.7969,8.969,6.625,3.655,40.283,4,70.411,51.908,39.841,23.198,6.449,10.828,0.06578,0.4327,0.2761,24.411,19.755,17.387,8.969,3.21,4.438,0.01787,0.1058,0.09573,58.256,7.491,0.02451,0.02832,6.263,0.4702,0.4528,0.4312,-2.801,-1.366,-1.349,0.003182,1.46,2.427,0.7593,0.8003,0.0003263,95.229,4.532,4.473,0.0001711,1.201E-05
Watts3.jpg,1490,0.4551,19.107,7.314,6.909,61.456,6.102,88.074,55.295,46.521,26.075,13.81,9.978,0.9605,0.4942,0.3493,58.946,42.195,15.777,19.107,5.25,17.96,0.1124,0.1023,0.2268,52.331,11.285,0.04936,-0.02734,27.881,0.4941,0.4356,0.4081,-2.605,-1.191,-1.298,0.004129,1.489,2.552,0.7013,0.7994,0.0002843,92.093,4.432,4.504,0.0001466,1.326E-05
ToulouseLautrec2.jpg,1802,1.316,16.028,7.34,8.148,79.48,6.325,123.335,110.871,72.999,46.88,-0.9497,23.18,0.153,0.4431,0.5102,55.37,37.12,33.564,16.028,13.544,8.342,0.08751,0.1045,0.2028,33.05,5.33,-0.02637,-0.003856,12.353,0.5268,0.4504,0.4294,-2.501,-1.364,-1.269,0.001346,1.49,2.564,0.7598,0.8425,0.0002886,95.072,4.472,4.524,0.0001103,1.52E-05
Pontormo1.jpg,1779,0.7373,19.069,7.632,7.316,101.854,5.67,113.101,96.306,70.526,41.423,3.052,17.449,0.1313,0.3832,0.4515,54.231,47.239,42.156,19.069,11.136,11.048,0.08643,0.2004,0.2071,48.943,6.405,0.02848,0.01465,11.606,0.5215,0.4612,0.4559,-2.868,-1.462,-1.451,0.00305,1.392,2.503,0.8115,0.824,0.000265,96.147,4.421,4.484,0.0001511,1.815E-05
