,Image size (pixels),Aspect ratio,RMS contrast,Lightness entropy,Edge density,Complexity,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Fourier slope **Redies**,Fourier slope **Spehar**,Fourier slope **Mather**,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
Image size (pixels),1.0,-0.37,-0.07,-0.03,-0.03,-0.01,-0.03,-0.14,-0.12,-0.11,-0.13,-0.04,-0.03,0.01,0.05,-0.13,-0.06,-0.07,-0.08,-0.07,0.03,-0.03,-0.03,-0.02,-0.07,0.15,-0.04,-0.54,-0.08,0.04,0.04,-0.05,0.02,-0.05,0.05,0.09,-0.1,0.17,-0.04,-0.2,-0.03,0.12,0.07,-0.06,0.02
Aspect ratio,-0.37,1.0,0.06,0.17,0.12,0.13,0.14,0.29,0.3,0.28,0.3,-0.11,0.04,0.02,-0.1,0.29,0.01,0.09,0.19,0.06,-0.11,0.03,0.0,-0.05,0.03,-0.3,0.11,0.22,0.18,0.03,0.02,0.22,0.08,0.18,-0.06,0.09,0.25,-0.11,0.23,-0.01,0.12,-0.19,0.03,0.01,-0.23
RMS contrast,-0.07,0.06,1.0,0.32,0.51,0.27,0.27,0.18,0.17,0.16,0.16,0.03,0.03,-0.02,0.05,0.18,0.96,0.99,0.84,1.0,0.15,0.28,0.17,0.36,0.97,-0.15,0.55,0.41,-0.24,-0.26,-0.27,-0.21,-0.27,-0.19,-0.09,-0.4,-0.11,-0.23,0.09,0.22,0.08,-0.01,0.01,0.24,0.32
Lightness entropy,-0.03,0.17,0.32,1.0,0.7,0.64,0.93,0.63,0.61,0.53,0.62,-0.1,0.21,0.02,0.07,0.66,0.35,0.39,0.47,0.32,0.45,0.57,0.32,0.23,0.3,-0.54,-0.07,-0.15,0.36,0.38,0.38,0.3,0.1,0.2,-0.08,0.31,0.37,0.24,0.64,-0.02,0.57,-0.03,0.25,-0.31,-0.2
Edge density,-0.03,0.12,0.51,0.7,1.0,0.74,0.59,0.33,0.32,0.29,0.33,-0.06,0.08,0.04,0.04,0.35,0.53,0.54,0.51,0.51,0.31,0.42,0.26,0.25,0.5,-0.27,-0.08,-0.05,0.2,0.32,0.33,0.18,-0.14,0.03,-0.15,0.28,0.23,0.13,0.65,0.07,0.51,0.01,0.25,-0.2,-0.16
Complexity,-0.01,0.13,0.27,0.64,0.74,1.0,0.52,0.32,0.34,0.32,0.34,-0.18,0.04,0.09,-0.03,0.35,0.3,0.31,0.33,0.27,0.21,0.39,0.26,0.11,0.26,-0.26,-0.07,-0.1,0.43,0.46,0.46,0.65,0.44,0.57,0.09,0.6,0.69,0.24,0.62,-0.28,0.38,0.02,0.26,-0.45,-0.4
Color entropy,-0.03,0.14,0.27,0.93,0.59,0.52,1.0,0.53,0.46,0.35,0.49,0.08,0.39,-0.09,0.28,0.55,0.32,0.33,0.35,0.27,0.59,0.61,0.19,0.31,0.28,-0.43,-0.09,-0.14,0.26,0.31,0.31,0.21,0.03,0.12,-0.07,0.25,0.27,0.23,0.53,0.03,0.52,0.02,0.26,-0.27,-0.05
mean R channel,-0.14,0.29,0.18,0.63,0.33,0.32,0.53,1.0,0.97,0.89,0.98,-0.17,0.2,-0.0,-0.26,0.99,0.18,0.3,0.46,0.18,0.06,0.27,0.14,-0.11,0.15,-0.78,0.04,-0.11,0.38,0.12,0.12,0.31,0.18,0.25,-0.07,0.13,0.39,-0.05,0.37,0.08,0.35,-0.26,0.01,0.03,-0.21
mean G channel,-0.12,0.3,0.17,0.61,0.32,0.34,0.46,0.97,1.0,0.96,1.0,-0.38,0.05,0.08,-0.4,0.98,0.15,0.28,0.48,0.17,-0.04,0.25,0.24,-0.18,0.11,-0.8,0.05,-0.13,0.42,0.13,0.14,0.36,0.22,0.3,-0.07,0.16,0.42,-0.06,0.4,0.05,0.34,-0.27,0.0,0.02,-0.27
mean B channel (RGB),-0.11,0.28,0.16,0.53,0.29,0.32,0.35,0.89,0.96,1.0,0.95,-0.35,-0.24,0.22,-0.56,0.93,0.12,0.27,0.49,0.16,-0.09,0.2,0.39,-0.24,0.1,-0.75,0.07,-0.11,0.4,0.11,0.11,0.35,0.22,0.3,-0.05,0.15,0.4,-0.09,0.36,0.04,0.28,-0.28,-0.02,0.06,-0.29
mean L channel,-0.13,0.3,0.16,0.62,0.33,0.34,0.49,0.98,1.0,0.95,1.0,-0.33,0.08,0.07,-0.38,0.99,0.15,0.28,0.47,0.16,-0.0,0.26,0.23,-0.17,0.11,-0.8,0.03,-0.14,0.42,0.14,0.14,0.35,0.22,0.29,-0.07,0.16,0.42,-0.04,0.4,0.05,0.36,-0.27,0.01,0.01,-0.26
mean a channel,-0.04,-0.11,0.03,-0.1,-0.06,-0.18,0.08,-0.17,-0.38,-0.35,-0.33,1.0,0.12,-0.08,0.46,-0.21,0.1,-0.0,-0.14,0.03,0.39,0.06,-0.17,0.32,0.1,0.28,-0.03,0.1,-0.27,-0.12,-0.12,-0.28,-0.22,-0.26,0.04,-0.14,-0.27,-0.01,-0.23,0.11,-0.08,0.1,-0.02,0.15,0.29
mean b channel (Lab),-0.03,0.04,0.03,0.21,0.08,0.04,0.39,0.2,0.05,-0.24,0.08,0.12,1.0,-0.5,0.62,0.12,0.09,0.05,-0.08,0.03,0.26,0.15,-0.56,0.24,0.07,-0.1,-0.06,-0.03,0.02,0.07,0.07,-0.02,-0.04,-0.04,-0.05,0.01,0.01,0.11,0.08,0.03,0.17,0.05,0.09,-0.12,0.11
mean H channel,0.01,0.02,-0.02,0.02,0.04,0.09,-0.09,-0.0,0.08,0.22,0.07,-0.08,-0.5,1.0,-0.24,0.07,-0.02,-0.01,0.06,-0.02,-0.03,0.13,0.44,-0.11,-0.02,-0.03,-0.03,-0.04,0.06,0.03,0.02,0.1,0.1,0.1,0.09,0.08,0.09,-0.05,-0.01,-0.04,-0.04,-0.05,-0.05,0.05,-0.08
mean S channel,0.05,-0.1,0.05,0.07,0.04,-0.03,0.28,-0.26,-0.4,-0.56,-0.38,0.46,0.62,-0.24,1.0,-0.28,0.11,0.01,-0.15,0.05,0.42,0.3,-0.4,0.47,0.11,0.27,-0.01,0.07,-0.15,0.03,0.03,-0.16,-0.18,-0.17,0.0,-0.02,-0.18,0.09,-0.11,0.07,-0.0,0.17,0.1,0.01,0.23
mean V channel,-0.13,0.29,0.18,0.66,0.35,0.35,0.55,0.99,0.98,0.93,0.99,-0.21,0.12,0.07,-0.28,1.0,0.18,0.3,0.48,0.18,0.09,0.33,0.22,-0.11,0.15,-0.79,0.03,-0.13,0.4,0.14,0.14,0.33,0.2,0.27,-0.06,0.16,0.4,-0.04,0.39,0.07,0.36,-0.25,0.01,0.04,-0.22
std R channel,-0.06,0.01,0.96,0.35,0.53,0.3,0.32,0.18,0.15,0.12,0.15,0.1,0.09,-0.02,0.11,0.18,1.0,0.93,0.74,0.96,0.27,0.39,0.19,0.38,0.97,-0.11,0.47,0.38,-0.23,-0.21,-0.22,-0.22,-0.27,-0.21,-0.07,-0.37,-0.12,-0.17,0.08,0.21,0.09,0.01,0.01,0.2,0.34
std G channel,-0.07,0.09,0.99,0.39,0.54,0.31,0.33,0.3,0.28,0.27,0.28,-0.0,0.05,-0.01,0.01,0.3,0.93,1.0,0.89,0.99,0.17,0.3,0.19,0.34,0.95,-0.22,0.54,0.38,-0.18,-0.23,-0.24,-0.16,-0.24,-0.15,-0.09,-0.36,-0.06,-0.22,0.13,0.21,0.11,-0.04,0.01,0.24,0.28
std B channel,-0.08,0.19,0.84,0.47,0.51,0.33,0.35,0.46,0.48,0.49,0.47,-0.14,-0.08,0.06,-0.15,0.48,0.74,0.89,1.0,0.84,0.08,0.29,0.3,0.3,0.79,-0.36,0.49,0.28,-0.04,-0.19,-0.2,-0.02,-0.15,-0.03,-0.1,-0.25,0.07,-0.24,0.2,0.18,0.14,-0.1,0.03,0.27,0.15
std L channel,-0.07,0.06,1.0,0.32,0.51,0.27,0.27,0.18,0.17,0.16,0.16,0.03,0.03,-0.02,0.05,0.18,0.96,0.99,0.84,1.0,0.15,0.28,0.17,0.36,0.97,-0.15,0.55,0.41,-0.24,-0.26,-0.27,-0.21,-0.27,-0.19,-0.09,-0.4,-0.11,-0.23,0.09,0.22,0.08,-0.01,0.01,0.24,0.32
std a channel,0.03,-0.11,0.15,0.45,0.31,0.21,0.59,0.06,-0.04,-0.09,-0.0,0.39,0.26,-0.03,0.42,0.09,0.27,0.17,0.08,0.15,1.0,0.5,0.15,0.49,0.22,0.03,-0.13,-0.07,-0.07,0.07,0.07,-0.06,-0.1,-0.1,0.02,0.07,-0.05,0.11,0.09,0.08,0.18,0.14,0.13,-0.02,0.29
std b channel (Lab),-0.03,0.03,0.28,0.57,0.42,0.39,0.61,0.27,0.25,0.2,0.26,0.06,0.15,0.13,0.3,0.33,0.39,0.3,0.29,0.28,0.5,1.0,0.42,0.5,0.34,-0.22,-0.01,-0.03,0.07,0.07,0.06,0.1,-0.02,0.04,0.01,0.08,0.13,0.01,0.19,0.06,0.22,0.05,0.13,0.01,0.14
