img_file,Image size (pixels),Aspect ratio,RMS contrast,Luminance entropy,Complexity,Edge density,Color entropy,mean R channel,mean G channel,mean B channel (RGB),mean L channel,mean a channel,mean b channel (Lab),mean H channel,mean S channel,mean V channel,std R channel,std G channel,std B channel,std L channel,std a channel,std b channel (Lab),std H channel,std S channel,std V channel,Mirror symmetry,DCM distance,DCM x position,DCM y position,Balance,CNN symmetry left-right,CNN symmetry up-down,CNN symmetry left-right & up-down,Slope Redies,Slope Spehar,Slope Mather,Fourier sigma,2D Fractal dimension,3D Fractal dimension,Self-similarity (PHOG),Self-similarity (CNN),Anisotropy,Homogeneity,1st-order EOE,2nd-order EOE,Sparseness,Variability
SS_2.5_rep7.jpg,1024,1,15.247,7.124,0.5703,12.823,0,127.5,127.5,127.5,52.952,-0.001459,0.002766,0,0,0.5,38.265,38.265,38.265,15.247,0.0003227,0.0006116,0,0,0.1501,37.94,10.576,-0.003906,0.05273,7.36,0.8056,0.3912,0.3882,-2.884,-1.415,-1.405,0.0655,0.8187,2.013,0.484,0.6956,0.001539,86.719,3.178,2.526,0.0007852,4.876E-06
SS_2.15_rep18.jpg,1024,1,15.5,7.101,0.7783,16.831,0,127.498,127.498,127.498,52.922,-0.001458,0.002765,0,0,0.5,38.262,38.262,38.262,15.5,0.0003284,0.0006225,0,0,0.15,14.243,8.647,0.04102,0.01367,8.37,0.5337,0.6854,0.5152,-3.453,-1.525,-1.714,0.05914,0.7728,2.064,0.5612,0.7518,0.0009828,84.539,4.209,3.336,0.0005996,3.526E-06
SS_1.25_rep17.jpg,1024,1,14.98,7.238,8.694,85.929,0,127.498,127.498,127.498,52.979,-0.00146,0.002767,0,0,0.5,38.155,38.155,38.155,14.98,0.0003175,0.0006017,0,0,0.1496,38.335,8.925,-0.01758,-0.04102,6.768,0.7588,0.7449,0.7374,-2.749,-1.385,-1.228,0.04974,1.546,2.573,0.9413,0.9174,0.0001004,94.406,4.576,4.567,0.0001286,2.408E-06
SS_2.1_rep10.jpg,1024,1,15.233,7.209,1.122,24.051,0,127.498,127.498,127.498,52.953,-0.001459,0.002766,0,0,0.5,38.251,38.251,38.251,15.233,0.0003224,0.0006111,0,0,0.15,18.878,5.95,0.02734,0.01172,5.727,0.4921,0.6299,0.4624,-3.775,-1.688,-1.873,0.03438,0.8717,2.101,0.7009,0.8157,0.0007646,89.742,4.404,4.088,0.0004368,2.904E-06
SS_1.75_rep7.jpg,1024,1,15.303,7.209,1.959,34.578,0,127.497,127.497,127.497,52.945,-0.001459,0.002766,0,0,0.5,38.256,38.256,38.256,15.303,0.0003239,0.0006139,0,0,0.15,13.962,6.641,0.0293,0.01562,7.527,0.6181,0.655,0.5917,-3.716,-1.802,-1.761,0.004586,1.101,2.274,0.8162,0.8582,0.0003884,90.064,4.536,4.395,0.000257,2.573E-06
SS_2.1_rep9.jpg,1024,1,15.338,7.236,0.9443,20.124,0,127.493,127.493,127.493,52.938,-0.001459,0.002765,0,0,0.5,38.258,38.258,38.258,15.338,0.0003248,0.0006157,0,0,0.15,23.689,5.807,0.02734,-0.009766,8.554,0.5526,0.6028,0.567,-3.667,-1.616,-1.824,0.04261,0.859,2.094,0.6306,0.7847,0.0007946,87.603,4.44,4.044,0.0004853,3.368E-06
SS_2.4_rep14.jpg,1024,1,15.401,7.214,0.665,14.657,0,127.495,127.495,127.495,52.932,-0.001458,0.002765,0,0,0.5,38.267,38.267,38.267,15.401,0.000327,0.0006199,0,0,0.1501,15.481,11.172,0.0332,-0.04492,8.913,0.5571,0.5048,0.4287,-3.26,-1.458,-1.615,0.07849,0.7916,2.036,0.5109,0.7239,0.001183,87.21,4.267,3.407,0.0007001,4.08E-06
SS_2.5_rep5.jpg,1024,1,15.41,7.178,0.7607,17.025,0,127.5,127.5,127.5,52.932,-0.001459,0.002765,0,0,0.5,38.249,38.249,38.249,15.41,0.0003263,0.0006185,0,0,0.15,23.343,4.704,-0.001953,0.02344,8.625,0.4809,0.4832,0.6001,-3.292,-1.496,-1.614,0.0879,0.7817,2.029,0.5194,0.746,0.001077,93.174,4.266,3.06,0.0006671,3.962E-06
SS_2.1_rep5.jpg,1024,1,15.122,7.158,0.6712,14.638,0,127.505,127.505,127.505,52.969,-0.00146,0.002767,0,0,0.5,38.26,38.26,38.26,15.122,0.00032,0.0006066,0,0,0.15,33.801,10.612,-0.05273,0.005859,8.607,0.4463,0.7048,0.4234,-3.327,-1.484,-1.662,0.06185,0.7726,2.044,0.5373,0.7565,0.001143,89.329,3.844,3.284,0.00064,4.078E-06
SS_1.55_rep13.jpg,1024,1,15.22,7.24,4.125,58.847,0,127.505,127.505,127.505,52.959,-0.001459,0.002765,0,0,0.5,38.245,38.245,38.245,15.22,0.0003237,0.0006136,0,0,0.15,25.397,3.685,0.009766,-0.01562,5.256,0.7128,0.714,0.6954,-3.417,-1.724,-1.521,0.03748,1.28,2.4,0.8982,0.8946,0.0002148,96.378,4.563,4.542,0.0001799,1.997E-06
